GeneSymbol,Is_Cross_Modal_Co_occurrence,Is_SC_Co_occurrence,Is_miRNA_Target
CLDN4,False,False,True
TRPM2,False,False,True
PTX3,False,False,True
ABCD3,False,False,True
HOXA1,False,False,True
SSR4,True,False,False
PARP14,True,False,False
BIRC3,False,True,True
RAPGEF3,False,False,True
CYP11A1,False,False,True
KCNK6,False,False,True
STAR,False,False,True
KRT15,False,False,True
MX1,True,False,True
PRTG,True,False,False
CREBRF,False,True,False
OVOL2,False,False,True
PLA2G4C,False,True,True
DLEU2L,False,False,True
GOLGA2,True,False,False
PSD4,False,False,True
PI4K2B,False,False,True
FBXO16,True,False,False
MANF,True,False,False
LPXN,False,True,False
CCL4,False,True,False
BHLHE41,True,False,True
FRMD3,True,False,False
SLC35E4,False,False,True
FKBP10,True,False,False
SPINT2,False,False,True
CXCL10,True,False,True
ZEB2,False,False,True
TMEM135,True,False,False
CHUK,True,False,False
VDR,False,False,True
SEC23A,True,False,False
SLC38A4,False,False,True
SEC11C,True,False,False
SMARCC2,True,False,False
AKNA,False,False,True
NSF,True,False,False
S1PR3,False,False,True
TSPYL2,False,True,False
GOLGB1,True,False,False
TAP1,True,False,True
CXCL1,False,True,False
IFITM1,True,False,False
CD164,True,False,False
IFI6,True,False,False
CXCL3,False,False,True
ERF,False,False,True
AGTR1,False,False,True
BATF,True,False,False
KLHDC7B,False,False,True
INHBE,False,True,False
HDAC9,False,False,True
LMAN1,True,False,False
ASNS,True,False,False
GGT5,False,False,True
ALPI,False,False,True
APBA2,True,False,False
ISG15,True,False,False
CFAP251,False,True,False
VNN3P,False,True,False
RRBP1,True,False,False
APOL6,True,False,False
CRELD2,True,False,False
SEMA3E,False,False,True
PIGW,False,False,True
ZNF92,False,False,True
FOLR1,False,False,True
STX11,False,False,True
ZNF467,False,False,True
CD200R1,False,True,False
ARL5A,True,False,False
IFIT3,True,False,True
IL15,False,False,True
FICD,True,False,False
MLLT6,True,False,False
LAMP3,False,False,True
ADM2,True,False,False
PBXIP1,True,False,False
DNAJC3,True,False,False
SIRT4,False,True,False
NANS,True,False,False
RND1,False,True,True
ABCA1,True,False,False
ATF5,True,False,False
DUSP1,False,True,False
SLC7A11,True,False,False
SLC1A4,True,False,False
TSPAN1,False,True,True
TMEM163,False,False,True
EPPK1,True,False,False
